iter, curl_err, torque_err
1,0.021755,0.030928
2,0.01483,0.019951
3,0.014754,0.016443
4,0.016712,0.013265
5,0.029102,0.029344
6,0.020133,0.044157
7,0.012306,0.012962
8,0.017169,0.007663
9,0.010838,0.008572
10,0.016396,0.020578
11,0.016526,0.002779
12,0.013447,0.013114
13,0.013176,0.000933
14,0.066519,0.00236
15,0.013761,0.010719
16,0.01434,0.018335
17,0.012416,0.000014
18,0.031128,0.010005
19,0.012604,0.037671
20,0.019269,0.090158
21,0.011972,0.011247
22,0.01631,0.020788
23,0.013186,0.003737
24,0.032579,0.015647
25,0.020856,0.006445
26,0.018419,0.034475
27,0.015215,0.043981
28,0.042152,0.02088
29,0.012673,0.00873
30,0.017885,0.018765
31,0.023046,0.00321
32,0.011942,0.038865
33,0.032186,0.011326
34,0.010769,0.027581
35,0.012259,0.000177
36,0.016808,0.002634
37,0.028787,0.007195
38,0.012304,0.016663
39,0.018313,0.002776
40,0.015985,0.004007
41,0.02555,0.016292
42,0.020689,0.02004
43,0.012613,0.011032
44,0.013997,0.019281
45,0.014086,0.034822
46,0.014373,0.002922
47,0.01148,0.006131
48,0.017339,0.022692
49,0.017032,0.007576
50,0.011384,0.027894
51,0.020953,0.004554
52,0.016449,0.015106
53,0.016479,0.01472
54,0.011176,0.030408
55,0.010587,0.009806
56,0.01399,0.013015
57,0.014002,0.034133
58,0.025773,0.036939
59,0.012641,0.030224
60,0.01042,0.005858
61,0.01459,0.075388
62,0.035115,0.013895
63,0.012521,0.022662
64,0.018212,0.006966
65,0.023421,0.021011
66,0.013333,0.046835
67,0.022211,0.007093
68,0.02111,0.009805
69,0.011245,0.014029
70,0.015565,0.040906
71,0.012463,0.020143
72,0.025122,0.02848
73,0.011546,0.001138
74,0.015166,0.002574
75,0.02146,0.006621
76,0.01232,0.006846
77,0.012752,0.054364
78,0.009714,0.004435
79,0.012376,0.000246
80,0.01581,0.032503
81,0.018082,0.011379
82,0.027909,0.013909
83,0.015597,0.006433
84,0.017577,0.000774
85,0.010143,0.002004
86,0.032262,0.032924
87,0.01135,0.025408
88,0.013665,0.026356
89,0.012131,0.027312
