iter, curl_err, torque_err
1,0.004829,0.014272
2,0.010637,0.040334
3,0.007426,0.020975
4,0.004899,0.008441
5,0.007315,0.000853
6,0.004717,0.003893
7,0.006464,0.008371
8,0.004685,0.031829
9,0.004987,0.009408
10,0.004963,0.011287
11,0.004868,0.0214
12,0.005095,0.032513
13,0.006799,0.03335
14,0.005204,0.023703
15,0.004991,0.002694
16,0.00569,0.002259
17,0.004324,0.023444
18,0.005008,0.00929
19,0.005426,0.013321
20,0.007155,0.011565
21,0.006158,0.00155
22,0.01236,0.009991
23,0.00484,0.026954
24,0.005285,0.001281
25,0.006389,0.071753
26,0.005416,0.017192
27,0.004774,0.007341
28,0.004482,0.003948
29,0.004915,0.008562
30,0.00477,0.000391
31,0.004873,0.007841
32,0.005272,0.020423
33,0.005458,0.016335
34,0.005249,0.001302
35,0.00482,0.017915
36,0.004547,0.005329
37,0.005821,0.017512
38,0.006688,0.010652
39,0.005195,0.013708
40,0.004548,0.025264
41,0.006667,0.017549
42,0.006211,0.022196
43,0.005007,0.00673
44,0.006221,0.051109
45,0.004854,0.004452
46,0.005657,0.00338
47,0.005524,0.017597
48,0.004411,0.015751
49,0.005821,0.017073
50,0.00512,0.019063
51,0.004408,0.03158
52,0.004806,0.004982
53,0.005577,0.004563
54,0.004659,0.014072
55,0.005776,0.003704
56,0.006184,0.007239
57,0.004731,0.003926
58,0.00503,0.012583
59,0.006742,0.039671
60,0.004975,0.004448
61,0.005819,0.028886
62,0.005549,0.054411
63,0.004496,0.006968
64,0.004683,0.000922
65,0.004467,0.016075
66,0.005172,0.001891
67,0.006047,0.030306
68,0.004503,0.02481
69,0.005551,0.014331
70,0.005819,0.036584
71,0.003999,0.006327
72,0.004867,0.022003
73,0.006308,0.005509
74,0.00575,0.02378
75,0.009076,0.007293
76,0.003775,0.000562
77,0.006357,0.043673
78,0.004992,0.005465
79,0.004823,0.003038
80,0.005617,0.008196
81,0.004728,0.025032
82,0.006623,0.026213
83,0.004745,0.013872
84,0.00507,0.014565
85,0.004634,0.008127
86,0.005765,0.047237
87,0.006478,0.030003
88,0.005418,0.014859
89,0.00508,0.005981
90,0.0051,0.004538
91,0.005869,0.015558
92,0.005619,0.027573
93,0.0062,0.012687
94,0.006146,0.001125
95,0.004416,0.008407
96,0.004665,0.008687
97,0.006375,0.010847
98,0.005172,0.017056
99,0.004205,0.006211
100,0.005137,0.001689
101,0.004653,0.007222
102,0.007893,0.036532
103,0.006784,0.007706
104,0.004927,0.007447
105,0.005002,0.020706
106,0.004317,0.024324
107,0.005548,0.004519
108,0.004221,0.008513
109,0.005864,0.010856
110,0.007192,0.035743
111,0.005434,0.003736
112,0.004604,0.010626
113,0.005549,0.01057
114,0.005075,0.005582
115,0.006459,0.024904
116,0.004443,0.013215
117,0.005526,0.03446
118,0.005524,0.00596
119,0.004522,0.011406
120,0.004626,0.00116
121,0.005993,0.014131
122,0.005312,0.009308
123,0.005085,0.008555
124,0.004343,0.011385
125,0.004314,0.00034
126,0.005566,0.015049
127,0.00625,0.020135
128,0.008799,0.004981
129,0.005311,0.006138
130,0.00487,0.007387
131,0.005413,0.007619
132,0.008005,0.012375
133,0.005789,0.039819
134,0.006762,0.030767
135,0.005129,0.012414
136,0.004592,0.021126
137,0.005102,0.022769
138,0.005082,0.021359
139,0.004521,0.008716
140,0.00496,0.007877
141,0.005389,0.014231
142,0.005629,0.000351
143,0.00893,0.018676
144,0.005079,0.01308
145,0.006119,0.016896
146,0.005838,0.018752
147,0.004943,0.000398
148,0.004681,0.001355
149,0.004571,0.03472
150,0.005537,0.027803
151,0.00488,0.018475
152,0.004906,0.022379
153,0.003759,0.008378
154,0.00631,0.022875
155,0.006353,0.043157
156,0.004959,0.001133
157,0.006638,0.009562
158,0.006534,0.017092
159,0.004977,0.009032
160,0.00478,0.013496
161,0.005281,0.001598
162,0.005287,0.036527
163,0.004689,0.002428
164,0.00351,0.002561
165,0.005028,0.015555
166,0.004659,0.004307
167,0.005408,0.023559
168,0.005583,0.011419
169,0.004852,0.012841
170,0.005903,0.027243
171,0.008524,0.021688
