iter,MH,MW,MAG,ROT,LW1,LW2,Theta1,Theta2,I0,I1,I2,phi0,phi1,phi2
1,0.00631,0.023144,0.013064,1.07,0.001596,0.00368,20.79,0.401981,10.61,9.23,10.06,1.73,-1.19,0.939999999999998
2,0.008916,0.01993,0.006812,17.34,0.002801,0.00276,18.84,0.308837,9.62,10.65,9.76,-1.54,2.42,-3.16
3,0.009652,0.020487,0.010369,5.96,0.002353,0.002056,21.27,0.204521,9.36,10.2,9.48,-2.64,-3.3,2.93000000000001
4,0.003122,0.016335,0.009116,12.49,0.001055,0.003386,19.35,0.486613,10.36,9.67,10.72,2.83,4.68,-0.150000000000006
5,0.003831,0.021459,0.005787,13.87,0.001266,0.003806,21.54,0.13855,9,10.94,9.23,4.99,-4.14,-4.74
6,0.007133,0.024741,0.008247,18.78,0.002527,0.002431,20.02,0.468426,10.76,9.99,10.31,-0.64,-1.4,-1.65000000000001
7,0.005601,0.018402,0.012,2.79,0.001823,0.00301,18.1,0.250053,9.75,10.38,9.51,1.07,0.02,3.84999999999999
8,0.004984,0.021129,0.007888,9.66,0.002929,0.003358,21.9,0.100647,9.18,9.61,9.64,2.04,3.27,-2.41
9,0.007751,0.016979,0.01164,13.13,0.001725,0.002216,19.97,0.569033,10.18,10.02,10.43,-2.47,-4.39,4.59
10,0.010822,0.022535,0.005582,4.55,0.001184,0.002984,20.42,0.442364,10.93,10.58,10.84,-3.59,1.01,-4.31999999999999
11,0.004444,0.019323,0.014335,18.28,0.002482,0.003592,18.46,0.286002,9.94,9.04,9.11,3.16,-2.28,1.5
12,0.002504,0.024131,0.01077,15.59,0.002193,0.003234,20.65,0.368474,10.7,10.32,10.59,4.06,1.42,3.63
13,0.010269,0.017795,0.009519,1.58,0.001395,0.002341,18.73,0.336364,9.7,9.81,9.36,-4.25,-0.3,-0.790000000000006
14,0.008304,0.0221,0.01331,10.5,0.001952,0.002608,21.16,0.175042,9.45,9.37,9.88,-0.31,4.31,0.620000000000005
15,0.006923,0.016076,0.007057,6.7,0.002655,0.003965,19.21,0.518169,10.45,10.75,10.18,0.12,-3.04,-2.78
16,0.006045,0.018039,0.009488,18.51,0.002934,0.002529,18.27,0.469852,9.62,10.39,10.97,1.36,1.83,-3.58
17,0.008715,0.015798,0.007734,3.43,0.002295,0.003162,20.98,0.530222,9.22,10.93,9.97,-4.9,-1.79,2.37
18,0.002248,0.017829,0.005116,8.29,0.001536,0.002538,21.46,0.325285,10.97,9.88,10.55,0.73,-4.05,4.37
19,0.00404,0.023086,0.00999,5.35,0.001763,0.002146,19.65,0.422437,9.64,10.73,9.01,1.47,4.76,0.829999999999998
20,0.007998,0.020742,0.007216,0.44,0.002007,0.00352,18.17,0.119599,10.39,9.71,10.46,-2.9,2.02,2.75
21,0.004767,0.017394,0.013464,16.73,0.001335,0.002913,20.21,0.589206,9.4,10.17,9.72,2.55,-0.63,-0.569999999999993
22,0.00538,0.024638,0.006346,11.12,0.002416,0.00269,19.79,0.457409,9.54,9.81,9.6,4.3,-2.64,3.19
