iter,MH,MW,MAG,ROT
1,0.005602,0.010511,0.01143,8.85
2,0.008174,0.021907,0.005117,10.4
3,0.010601,0.012512,0.014146,4.15
4,0.002623,0.015908,0.007979,15.11
5,0.002951,0.013587,0.007427,19.94
6,0.010929,0.018987,0.010948,0.86
7,0.007846,0.007587,0.009398,14.63
8,0.005274,0.020986,0.013398,6.21
9,0.004126,0.011922,0.008756,2.33
10,0.007027,0.016505,0.012746,18.24
11,0.011749,0.00992,0.006819,7.01
12,0.004098,0.022504,0.01035,13.59
13,0.001801,0.008997,0.014788,11.55
14,0.009452,0.019584,0.008631,8.09
15,0.009324,0.014998,0.012038,16.85
16,0.006423,0.017585,0.005715,2.8
17,0.006389,0.014293,0.01285,13.88
18,0.008782,0.017131,0.009319,5.47
19,0.009984,0.008294,0.010247,19.2
20,0.001846,0.019133,0.006256,0.12
21,0.003486,0.009374,0.008215,4.97
22,0.011624,0.022209,0.014538,15.93
23,0.007141,0.011373,0.006131,9.68
24,0.004748,0.016208,0.012288,11.22
25,0.004913,0.007134,0.00548,17.28
26,0.007634,0.020285,0.011646,3.23
27,0.011131,0.013133,0.007617,11.98
28,0.003322,0.018284,0.01393,8.52
29,0.002337,0.012213,0.010898,6.5
30,0.010147,0.01536,0.006898,13.08
31,0.008618,0.010214,0.013448,1.82
32,0.005898,0.021361,0.009927,17.74
33,0.006,0.012824,0.006713,10.67
34,0.008514,0.015725,0.010535,9.75
35,0.010211,0.010825,0.008962,16.01
36,0.002275,0.021726,0.012619,4.43
37,0.003259,0.007781,0.011931,0.52
38,0.011195,0.020678,0.0059,18.97
39,0.00753,0.01378,0.014993,5.23
40,0.005016,0.018677,0.008504,14.27
41,0.004525,0.009728,0.014351,17.82
42,0.007366,0.022816,0.007852,1.28
43,0.011358,0.011727,0.011323,12.53
44,0.003751,0.016815,0.005302,6.57
45,0.002111,0.014682,0.009604,8.28
46,0.009717,0.017766,0.013271,12.37
47,0.009007,0.008683,0.00732,3.63
48,0.006165,0.019767,0.011133,17.05
49,0.00669,0.008104,0.007802,5.66
50,0.009055,0.019438,0.013823,14.7
51,0.00968,0.014105,0.005352,0.95
52,0.001575,0.017439,0.011851,19.4
53,0.003872,0.011056,0.013633,15.51
54,0.011976,0.016394,0.009821,3.92
55,0.006758,0.009055,0.010771,10.16
56,0.004393,0.022393,0.007104,9.24
57,0.005214,0.013453,0.010119,2.89
58,0.007907,0.018099,0.006462,16.31
59,0.010828,0.007452,0.013035,7.54
60,0.003051,0.020098,0.009212,11.62
61,0.002723,0.010403,0.006004,13.35
62,0.010499,0.021053,0.012493,7.4
63,0.008235,0.012404,0.0084,18.64
64,0.005542,0.015054,0.014431,2.1
65,0.005483,0.013999,0.008729,16.52
66,0.008376,0.018584,0.014731,3.06
67,0.0104,0.007998,0.005694,11.8
68,0.002742,0.020583,0.012174,7.76
69,0.00307,0.010918,0.012725,7.3
70,0.010728,0.021507,0.008893,13.21
71,0.008047,0.012919,0.010449,1.96
72,0.005155,0.015508,0.006762,18.54
73,0.004335,0.008588,0.011086,14.99
74,0.0069,0.019985,0.007409,5.91
75,0.011876,0.014589,0.013337,19.65
76,0.003889,0.017986,0.009496,1.24
77,0.001592,0.011509,0.005057,3.9
78,0.009579,0.01691,0.011527,15.45
79,0.009197,0.009508,0.008117,9.18
80,0.006632,0.022909,0.014128,10.14
81,0.006182,0.009213,0.006996,1.53
82,0.008906,0.022363,0.010838,18.11
83,0.009859,0.011212,0.009909,6.87
84,0.002052,0.016362,0.013586,12.78
85,0.003693,0.014135,0.011628,12.31
86,0.0115,0.017281,0.005617,8.26
87,0.007266,0.008136,0.014027,17.03
88,0.004542,0.019282,0.007557,3.57
89,0.005035,0.012372,0.014674,9.92
90,0.00743,0.015209,0.008194,10.88
91,0.011335,0.010373,0.012231,4.64
92,0.0032,0.02121,0.00623,16.19
93,0.002216,0.007297,0.009262,18.83
94,0.010351,0.02013,0.012948,0.42
95,0.008414,0.013296,0.006393,14.17
96,0.006019,0.018129,0.010225,5.09
97,0.005791,0.007682,0.013133,3.33
